Width,P-value,Average_Time
5,0.1,10308
5,0.2,2988
5,0.30000000000000004,1115
5,0.4,869
5,0.5,551
5,0.6,568
5,0.7,362
5,0.7999999999999999,362
5,0.8999999999999999,302
5,0.9999999999999999,282
10,0.1,21364
10,0.2,7835
10,0.30000000000000004,3754
10,0.4,2405
10,0.5,1465
10,0.6,1318
10,0.7,949
10,0.7999999999999999,768
10,0.8999999999999999,684
10,0.9999999999999999,550
15,0.1,39101
15,0.2,13023
15,0.30000000000000004,6229
15,0.4,3678
15,0.5,2246
15,0.6,1901
15,0.7,1541
15,0.7999999999999999,1206
15,0.8999999999999999,1018
15,0.9999999999999999,830
20,0.1,68917
20,0.2,18117
20,0.30000000000000004,7939
20,0.4,5417
20,0.5,3999
20,0.6,2793
20,0.7,1959
20,0.7999999999999999,1733
20,0.8999999999999999,1295
20,0.9999999999999999,1100
25,0.1,63172
25,0.2,21321
25,0.30000000000000004,9053
25,0.4,6074
25,0.5,4657
25,0.6,2786
25,0.7,2769
25,0.7999999999999999,2126
25,0.8999999999999999,1650
25,0.9999999999999999,1378
30,0.1,106562
30,0.2,33358
30,0.30000000000000004,12122
30,0.4,8780
30,0.5,6365
30,0.6,3852
30,0.7,3082
30,0.7999999999999999,2538
30,0.8999999999999999,1956
30,0.9999999999999999,1652
35,0.1,111087
35,0.2,25759
35,0.30000000000000004,14761
35,0.4,9793
35,0.5,6360
35,0.6,4880
35,0.7,3840
35,0.7999999999999999,2795
35,0.8999999999999999,2384
35,0.9999999999999999,1948
40,0.1,137616
40,0.2,36916
40,0.30000000000000004,17872
40,0.4,10770
40,0.5,6627
40,0.6,5088
40,0.7,3874
40,0.7999999999999999,3305
40,0.8999999999999999,2651
40,0.9999999999999999,2218
45,0.1,159486
45,0.2,33817
45,0.30000000000000004,21904
45,0.4,12406
45,0.5,9233
45,0.6,6201
45,0.7,4853
45,0.7999999999999999,3654
45,0.8999999999999999,3161
45,0.9999999999999999,2499
50,0.1,187972
50,0.2,45513
50,0.30000000000000004,24930
50,0.4,15621
50,0.5,9425
50,0.6,7021
50,0.7,5561
50,0.7999999999999999,4003
50,0.8999999999999999,3179
50,0.9999999999999999,2770
55,0.1,197059
55,0.2,53968
55,0.30000000000000004,22888
55,0.4,18011
55,0.5,12765
55,0.6,7496
55,0.7,5779
55,0.7999999999999999,4438
55,0.8999999999999999,3601
55,0.9999999999999999,3035
60,0.1,186435
60,0.2,63939
60,0.30000000000000004,23499
60,0.4,19397
60,0.5,12892
60,0.6,9474
60,0.7,6417
60,0.7999999999999999,4796
60,0.8999999999999999,4077
60,0.9999999999999999,3336
65,0.1,250408
65,0.2,70496
65,0.30000000000000004,30370
65,0.4,21477
65,0.5,13952
65,0.6,9217
65,0.7,7045
65,0.7999999999999999,5345
65,0.8999999999999999,4476
65,0.9999999999999999,3622
70,0.1,275910
70,0.2,63622
70,0.30000000000000004,36609
70,0.4,22385
70,0.5,14733
70,0.6,10832
70,0.7,7555
70,0.7999999999999999,5679
70,0.8999999999999999,4675
70,0.9999999999999999,3870
75,0.1,346813
75,0.2,80085
75,0.30000000000000004,35452
75,0.4,22604
75,0.5,15819
75,0.6,11183
75,0.7,7871
75,0.7999999999999999,6387
75,0.8999999999999999,5103
75,0.9999999999999999,4153
80,0.1,315147
80,0.2,73472
80,0.30000000000000004,41492
80,0.4,27043
80,0.5,15920
80,0.6,11421
80,0.7,8499
80,0.7999999999999999,6881
80,0.8999999999999999,5381
80,0.9999999999999999,4439
85,0.1,361621
85,0.2,84085
85,0.30000000000000004,44722
85,0.4,23610
85,0.5,19098
85,0.6,13134
85,0.7,8944
85,0.7999999999999999,7116
85,0.8999999999999999,5666
85,0.9999999999999999,4713
90,0.1,247835
90,0.2,113533
90,0.30000000000000004,47509
90,0.4,27629
90,0.5,17703
90,0.6,12742
90,0.7,9982
90,0.7999999999999999,7401
90,0.8999999999999999,6107
90,0.9999999999999999,4969
95,0.1,330643
95,0.2,91619
95,0.30000000000000004,50581
95,0.4,31099
95,0.5,20559
95,0.6,14356
95,0.7,10354
95,0.7999999999999999,8071
95,0.8999999999999999,6381
95,0.9999999999999999,5250
